fold,method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN,threshold,selection_max_fpr,eligible_under_max_fpr,selected
0,lexical_pipeline,all,all,240,120,120,0.604061,0.991667,0.750789,0.65,0.35,0.670833,0.670833,119,78,42,1,1,0.1,0,0
0,lexical_pipeline,all,all,240,120,120,0.776316,0.983333,0.867647,0.283333,0.716667,0.85,0.85,118,34,86,2,2,0.1,0,0
0,lexical_pipeline,all,all,240,120,120,0.882353,0.875,0.878661,0.116667,0.883333,0.879167,0.879167,105,14,106,15,3,0.1,0,0
0,lexical_pipeline,all,all,240,120,120,0.895833,0.716667,0.796296,0.083333,0.916667,0.816667,0.816667,86,10,110,34,4,0.1,1,1
0,lexical_pipeline,all,all,240,120,120,0.931818,0.683333,0.788462,0.05,0.95,0.816667,0.816667,82,6,114,38,5,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,0.952381,0.666667,0.784314,0.033333,0.966667,0.816667,0.816667,80,4,116,40,6,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.558333,0.716578,0.0,1.0,0.779167,0.779167,67,0,120,53,7,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.475,0.644068,0.0,1.0,0.7375,0.7375,57,0,120,63,8,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.375,0.545455,0.0,1.0,0.6875,0.6875,45,0,120,75,9,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.266667,0.421053,0.0,1.0,0.633333,0.633333,32,0,120,88,10,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.233333,0.378378,0.0,1.0,0.616667,0.616667,28,0,120,92,11,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.183333,0.309859,0.0,1.0,0.591667,0.591667,22,0,120,98,12,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.158333,0.273381,0.0,1.0,0.579167,0.579167,19,0,120,101,13,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.108333,0.195489,0.0,1.0,0.554167,0.554167,13,0,120,107,14,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.041667,0.08,0.0,1.0,0.520833,0.520833,5,0,120,115,15,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,1.0,0.025,0.04878,0.0,1.0,0.5125,0.5125,3,0,120,117,16,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,17,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,18,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,19,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,20,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,21,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,22,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,23,0.1,1,0
0,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,24,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,0.603015,1.0,0.752351,0.658333,0.341667,0.670833,0.670833,120,79,41,0,1,0.1,0,0
1,lexical_pipeline,all,all,240,120,120,0.777778,0.991667,0.871795,0.283333,0.716667,0.854167,0.854167,119,34,86,1,2,0.1,0,0
1,lexical_pipeline,all,all,240,120,120,0.884298,0.891667,0.887967,0.116667,0.883333,0.8875,0.8875,107,14,106,13,3,0.1,0,0
1,lexical_pipeline,all,all,240,120,120,0.88,0.733333,0.8,0.1,0.9,0.816667,0.816667,88,12,108,32,4,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,0.934783,0.716667,0.811321,0.05,0.95,0.833333,0.833333,86,6,114,34,5,0.1,1,1
1,lexical_pipeline,all,all,240,120,120,0.976471,0.691667,0.809756,0.016667,0.983333,0.8375,0.8375,83,2,118,37,6,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.558333,0.716578,0.0,1.0,0.779167,0.779167,67,0,120,53,7,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.45,0.62069,0.0,1.0,0.725,0.725,54,0,120,66,8,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.366667,0.536585,0.0,1.0,0.683333,0.683333,44,0,120,76,9,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.283333,0.441558,0.0,1.0,0.641667,0.641667,34,0,120,86,10,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.258333,0.410596,0.0,1.0,0.629167,0.629167,31,0,120,89,11,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.216667,0.356164,0.0,1.0,0.608333,0.608333,26,0,120,94,12,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.175,0.297872,0.0,1.0,0.5875,0.5875,21,0,120,99,13,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.125,0.222222,0.0,1.0,0.5625,0.5625,15,0,120,105,14,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.041667,0.08,0.0,1.0,0.520833,0.520833,5,0,120,115,15,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,1.0,0.033333,0.064516,0.0,1.0,0.516667,0.516667,4,0,120,116,16,0.1,1,0
1,lexical_pipeline,all,all,240,120,120,,0.0,,0.0,1.0,0.5,0.5,0,0,120,120,17,0.1,1,0
