method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN
wazuh_standard,behavior_family,acl_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
lexical_pipeline,behavior_family,acl_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,acl_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,acl_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,add_type_native_api_partial,5,5,0,,0.0,,,,0.0,,0,0,0,5
lexical_pipeline,behavior_family,add_type_native_api_partial,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
hybrid_or,behavior_family,add_type_native_api_partial,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
hybrid_and,behavior_family,add_type_native_api_partial,5,5,0,,0.0,,,,0.0,,0,0,0,5
wazuh_standard,behavior_family,archive_collection,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
lexical_pipeline,behavior_family,archive_collection,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
hybrid_or,behavior_family,archive_collection,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,archive_collection,5,5,0,,0.0,,,,0.0,,0,0,0,5
wazuh_standard,behavior_family,array_sort_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,array_sort_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,array_sort_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,array_sort_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,bios_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,bios_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,bios_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,bios_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,bits_transfer,5,5,0,1.0,0.8,0.888889,,,0.8,,4,0,0,1
lexical_pipeline,behavior_family,bits_transfer,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
hybrid_or,behavior_family,bits_transfer,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,bits_transfer,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
wazuh_standard,behavior_family,cert_store_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
lexical_pipeline,behavior_family,cert_store_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,cert_store_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,cert_store_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,certutil_transfer_decode,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
lexical_pipeline,behavior_family,certutil_transfer_decode,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_or,behavior_family,certutil_transfer_decode,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,certutil_transfer_decode,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
wazuh_standard,behavior_family,clipboard_collection,5,5,0,1.0,0.4,0.571429,,,0.4,,2,0,0,3
lexical_pipeline,behavior_family,clipboard_collection,5,5,0,1.0,0.8,0.888889,,,0.8,,4,0,0,1
hybrid_or,behavior_family,clipboard_collection,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,clipboard_collection,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
wazuh_standard,behavior_family,command_lookup_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
lexical_pipeline,behavior_family,command_lookup_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,command_lookup_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,command_lookup_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,computer_info_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,computer_info_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,computer_info_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,computer_info_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,credential_file_search,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
lexical_pipeline,behavior_family,credential_file_search,5,5,0,1.0,0.6,0.75,,,0.6,,3,0,0,2
hybrid_or,behavior_family,credential_file_search,5,5,0,1.0,1.0,1.0,,,1.0,,5,0,0,0
hybrid_and,behavior_family,credential_file_search,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
wazuh_standard,behavior_family,csv_formatting_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
lexical_pipeline,behavior_family,csv_formatting_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,csv_formatting_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,csv_formatting_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,culture_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,culture_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,culture_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,culture_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,date_check_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,date_check_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,date_check_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,date_check_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,defender_exclusion,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
lexical_pipeline,behavior_family,defender_exclusion,5,5,0,1.0,0.8,0.888889,,,0.8,,4,0,0,1
hybrid_or,behavior_family,defender_exclusion,5,5,0,1.0,0.8,0.888889,,,0.8,,4,0,0,1
hybrid_and,behavior_family,defender_exclusion,5,5,0,1.0,0.2,0.333333,,,0.2,,1,0,0,4
wazuh_standard,behavior_family,defender_preference_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,defender_preference_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_or,behavior_family,defender_preference_read_normal,2,0,2,0.0,,,1.0,0.0,0.0,,0,2,0,0
hybrid_and,behavior_family,defender_preference_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,defender_status_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,defender_status_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,defender_status_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,defender_status_read_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,disk_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,disk_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_or,behavior_family,disk_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
hybrid_and,behavior_family,disk_inventory_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
wazuh_standard,behavior_family,dns_client_cache_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
lexical_pipeline,behavior_family,dns_client_cache_normal,2,0,2,,,,0.0,1.0,1.0,,0,0,2,0
