method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN
wazuh_standard,obfuscation_type,alias_command_reconstruction,20,20,0,1.0,0.1,0.181818,,,0.1,,2,0,0,18
lexical_pipeline,obfuscation_type,alias_command_reconstruction,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
hybrid_or,obfuscation_type,alias_command_reconstruction,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
hybrid_and,obfuscation_type,alias_command_reconstruction,20,20,0,1.0,0.1,0.181818,,,0.1,,2,0,0,18
wazuh_standard,obfuscation_type,backtick_literal,20,20,0,1.0,0.25,0.4,,,0.25,,5,0,0,15
lexical_pipeline,obfuscation_type,backtick_literal,20,20,0,1.0,0.6,0.75,,,0.6,,12,0,0,8
hybrid_or,obfuscation_type,backtick_literal,20,20,0,1.0,0.65,0.787879,,,0.65,,13,0,0,7
hybrid_and,obfuscation_type,backtick_literal,20,20,0,1.0,0.2,0.333333,,,0.2,,4,0,0,16
wazuh_standard,obfuscation_type,base64_literal_decode_safe,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
lexical_pipeline,obfuscation_type,base64_literal_decode_safe,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
hybrid_or,obfuscation_type,base64_literal_decode_safe,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
hybrid_and,obfuscation_type,base64_literal_decode_safe,20,20,0,1.0,1.0,1.0,,,1.0,,20,0,0,0
wazuh_standard,obfuscation_type,combined_obfuscation,20,20,0,1.0,0.1,0.181818,,,0.1,,2,0,0,18
lexical_pipeline,obfuscation_type,combined_obfuscation,20,20,0,1.0,0.95,0.974359,,,0.95,,19,0,0,1
hybrid_or,obfuscation_type,combined_obfuscation,20,20,0,1.0,0.95,0.974359,,,0.95,,19,0,0,1
hybrid_and,obfuscation_type,combined_obfuscation,20,20,0,1.0,0.1,0.181818,,,0.1,,2,0,0,18
wazuh_standard,obfuscation_type,mixed_case,20,20,0,1.0,0.45,0.62069,,,0.45,,9,0,0,11
lexical_pipeline,obfuscation_type,mixed_case,20,20,0,1.0,0.55,0.709677,,,0.55,,11,0,0,9
hybrid_or,obfuscation_type,mixed_case,20,20,0,1.0,0.8,0.888889,,,0.8,,16,0,0,4
hybrid_and,obfuscation_type,mixed_case,20,20,0,1.0,0.2,0.333333,,,0.2,,4,0,0,16
wazuh_standard,obfuscation_type,none,180,30,150,0.276596,0.433333,0.337662,0.226667,0.773333,0.716667,0.603333,13,34,116,17
lexical_pipeline,obfuscation_type,none,180,30,150,0.428571,0.4,0.413793,0.106667,0.893333,0.811111,0.646667,12,16,134,18
hybrid_or,obfuscation_type,none,180,30,150,0.322581,0.666667,0.434783,0.28,0.72,0.711111,0.693333,20,42,108,10
hybrid_and,obfuscation_type,none,180,30,150,0.384615,0.166667,0.232558,0.053333,0.946667,0.816667,0.556667,5,8,142,25
wazuh_standard,obfuscation_type,string_concatenation,20,20,0,1.0,0.15,0.26087,,,0.15,,3,0,0,17
lexical_pipeline,obfuscation_type,string_concatenation,20,20,0,1.0,0.95,0.974359,,,0.95,,19,0,0,1
hybrid_or,obfuscation_type,string_concatenation,20,20,0,1.0,0.95,0.974359,,,0.95,,19,0,0,1
hybrid_and,obfuscation_type,string_concatenation,20,20,0,1.0,0.15,0.26087,,,0.15,,3,0,0,17
