"id","label","start_utc","end_utc","status","reason","commands"
"PST-001","simulated_malicious","2026-07-17T09:35:23.7289655Z","2026-07-17T09:35:23.7744146Z","executed","","Write-Output"
"PST-002","benign","2026-07-17T09:35:24.1512265Z","2026-07-17T09:35:24.1672748Z","executed","","Write-Output"
"PST-003","simulated_malicious","2026-07-17T09:35:24.4936752Z","2026-07-17T09:35:24.5065405Z","executed","","Write-Output"
"PST-004","simulated_malicious","2026-07-17T09:35:24.8334727Z","2026-07-17T09:35:24.8509082Z","executed","","Write-Output"
"PST-005","simulated_malicious","2026-07-17T09:35:25.1753296Z","2026-07-17T09:35:25.1918919Z","executed","","Write-Output"
"PST-006","benign","2026-07-17T09:35:25.5226475Z","2026-07-17T09:35:25.5823690Z","executed","","Get-Service;Select-Object;Write-Output"
"PST-007","benign","2026-07-17T09:35:25.9236438Z","2026-07-17T09:35:33.2624698Z","executed","","Get-Module;Select-Object;Write-Output"
"PST-008","benign","2026-07-17T09:35:33.5815273Z","2026-07-17T09:35:33.6482814Z","executed","","Get-FileHash;Select-Object;Write-Output"
"PST-009","simulated_malicious","2026-07-17T09:35:33.9707191Z","2026-07-17T09:35:33.9849920Z","executed","","Write-Output"
"PST-010","simulated_malicious","2026-07-17T09:35:34.2994596Z","2026-07-17T09:35:34.3143795Z","executed","","Write-Output"
"PST-011","simulated_malicious","2026-07-17T09:35:34.6263442Z","2026-07-17T09:35:34.6383907Z","executed","","Write-Output"
"PST-012","benign","2026-07-17T09:35:34.9561514Z","2026-07-17T09:35:35.0335376Z","executed","","Get-LocalGroup;Select-Object;Write-Output"
"PST-013","benign","2026-07-17T09:35:35.3420501Z","2026-07-17T09:35:35.3535695Z","executed","","Test-Path;Write-Output"
"PST-014","simulated_malicious","2026-07-17T09:35:35.6679701Z","2026-07-17T09:35:35.7040058Z","executed","","Write-Output"
"PST-015","simulated_malicious","2026-07-17T09:35:36.0219126Z","2026-07-17T09:35:36.0443183Z","executed","","Write-Output"
"PST-016","benign","2026-07-17T09:35:36.3585450Z","2026-07-17T09:35:36.3877443Z","executed","","Get-Service;Select-Object;Where-Object;Write-Output"
"PST-017","benign","2026-07-17T09:35:36.7106675Z","2026-07-17T09:35:36.7877755Z","executed","","Get-ChildItem;Measure-Object;Write-Output"
"PST-018","simulated_malicious","2026-07-17T09:35:37.1116647Z","2026-07-17T09:35:37.1521772Z","executed","","Write-Output"
"PST-019","benign","2026-07-17T09:35:37.4647845Z","2026-07-17T09:35:37.4783181Z","executed","","Write-Output"
"PST-020","simulated_malicious","2026-07-17T09:35:37.7926663Z","2026-07-17T09:35:37.8050801Z","executed","","Write-Output"
"PST-021","benign","2026-07-17T09:35:38.1326516Z","2026-07-17T09:35:38.1476105Z","executed","","Write-Output"
"PST-022","simulated_malicious","2026-07-17T09:35:38.4773114Z","2026-07-17T09:35:38.4885849Z","executed","","Write-Output"
"PST-023","simulated_malicious","2026-07-17T09:35:38.8103694Z","2026-07-17T09:35:40.1122733Z","executed","","Write-Output"
"PST-024","simulated_malicious","2026-07-17T09:35:40.4184838Z","2026-07-17T09:35:40.4364027Z","executed","","Write-Output"
"PST-025","simulated_malicious","2026-07-17T09:35:40.7476808Z","2026-07-17T09:35:40.7598574Z","executed","","Write-Output"
"PST-026","simulated_malicious","2026-07-17T09:35:41.0811724Z","2026-07-17T09:35:41.0926861Z","executed","","Write-Output"
"PST-027","simulated_malicious","2026-07-17T09:35:41.4027397Z","2026-07-17T09:35:41.6369564Z","executed","","Write-Output"
"PST-028","simulated_malicious","2026-07-17T09:35:41.9536371Z","2026-07-17T09:35:41.9672440Z","executed","","Write-Output"
"PST-029","benign","2026-07-17T09:35:42.2746609Z","2026-07-17T09:35:43.4128375Z","executed","","Get-ChildItem;Select-Object;Write-Output"
"PST-030","benign","2026-07-17T09:35:43.7279183Z","2026-07-17T09:35:43.7449800Z","executed","","Write-Output"
"PST-031","benign","2026-07-17T09:35:44.0555080Z","2026-07-17T09:35:44.1444934Z","executed","","Get-Acl;Select-Object;Write-Output"
"PST-032","simulated_malicious","2026-07-17T09:35:44.4633230Z","2026-07-17T09:35:44.4765327Z","executed","","Write-Output"
"PST-033","benign","2026-07-17T09:35:44.8092818Z","2026-07-17T09:35:44.8318343Z","executed","","Get-Process;Select-Object;Write-Output"
