FN,FP,TN,TP,accuracy,balanced_accuracy,f1,fpr,group_field,group_value,method,precision,recall,sample_count,specificity,threshold
0,150,0,150,0.5,0.5,0.666667,1.0,all,all,lexical_pipeline,0.5,1.0,300,0.0,1
0,103,47,150,0.656667,0.656667,0.744417,0.686667,all,all,lexical_pipeline,0.592885,1.0,300,0.313333,2
3,101,49,147,0.653333,0.653333,0.738693,0.673333,all,all,lexical_pipeline,0.592742,0.98,300,0.326667,3
18,47,103,132,0.783333,0.783333,0.802432,0.313333,all,all,lexical_pipeline,0.73743,0.88,300,0.686667,4
28,19,131,122,0.843333,0.843333,0.838488,0.126667,all,all,lexical_pipeline,0.865248,0.813333,300,0.873333,5
31,13,137,119,0.853333,0.853333,0.843972,0.086667,all,all,lexical_pipeline,0.901515,0.793333,300,0.913333,6
43,6,144,107,0.836667,0.836667,0.813688,0.04,all,all,lexical_pipeline,0.946903,0.713333,300,0.96,7
58,6,144,92,0.786667,0.786667,0.741935,0.04,all,all,lexical_pipeline,0.938776,0.613333,300,0.96,8
69,4,146,81,0.756667,0.756667,0.689362,0.026667,all,all,lexical_pipeline,0.952941,0.54,300,0.973333,9
95,2,148,55,0.676667,0.676667,0.531401,0.013333,all,all,lexical_pipeline,0.964912,0.366667,300,0.986667,10
106,2,148,44,0.64,0.64,0.44898,0.013333,all,all,lexical_pipeline,0.956522,0.293333,300,0.986667,11
120,2,148,30,0.593333,0.593333,0.32967,0.013333,all,all,lexical_pipeline,0.9375,0.2,300,0.986667,12
138,0,150,12,0.54,0.54,0.148148,0.0,all,all,lexical_pipeline,1.0,0.08,300,1.0,13
141,0,150,9,0.53,0.53,0.113208,0.0,all,all,lexical_pipeline,1.0,0.06,300,1.0,14
