FN,FP,TN,TP,accuracy,balanced_accuracy,f1,fpr,group_field,group_value,method,precision,recall,sample_count,specificity
29,0,0,1,0.033333,0.016667,0.064516,0.0,dataset_group,clear_indicator,wazuh_standard,1.0,0.033333,30,0.0
12,0,0,18,0.6,0.3,0.75,0.0,dataset_group,clear_indicator,lexical_pipeline,1.0,0.6,30,0.0
12,0,0,18,0.6,0.3,0.75,0.0,dataset_group,clear_indicator,hybrid_or,1.0,0.6,30,0.0
0,10,40,0,0.8,0.4,0.0,0.2,dataset_group,hard_benign,wazuh_standard,0.0,0.0,50,0.8
0,11,39,0,0.78,0.39,0.0,0.22,dataset_group,hard_benign,lexical_pipeline,0.0,0.0,50,0.78
0,15,35,0,0.7,0.35,0.0,0.3,dataset_group,hard_benign,hybrid_or,0.0,0.0,50,0.7
0,24,76,0,0.76,0.38,0.0,0.24,dataset_group,normal_benign,wazuh_standard,0.0,0.0,100,0.76
0,2,98,0,0.98,0.49,0.0,0.02,dataset_group,normal_benign,lexical_pipeline,0.0,0.0,100,0.98
0,24,76,0,0.76,0.38,0.0,0.24,dataset_group,normal_benign,hybrid_or,0.0,0.0,100,0.76
91,0,0,29,0.241667,0.120833,0.389262,0.0,dataset_group,obfuscated_indicator,wazuh_standard,1.0,0.241667,120,0.0
19,0,0,101,0.841667,0.420833,0.914027,0.0,dataset_group,obfuscated_indicator,lexical_pipeline,1.0,0.841667,120,0.0
18,0,0,102,0.85,0.425,0.918919,0.0,dataset_group,obfuscated_indicator,hybrid_or,1.0,0.85,120,0.0
